TimeStamp;ErrorType;ErrorMessage
2025-01-12 16:18:32Z;Information;Starting script at '2025-01-12 16:18:32Z'.
2025-01-12 16:18:32Z;Information;Processing script code.
2025-01-12 16:18:33Z;Error;Missing an argument for parameter 'ArgumentList'. Specify a parameter of type 'System.Object[]' and try again.
2025-01-12 16:18:33Z;Information;Finished script at '2025-01-12 16:18:33Z'. Took '00:00:00.8401071' to run.
TimeStamp;ErrorType;ErrorMessage
2025-01-12 16:18:48Z;Information;Starting script at '2025-01-12 16:18:48Z'.
2025-01-12 16:18:48Z;Information;Processing script code.
2025-01-12 16:18:49Z;Error;Attempted to divide by zero.
2025-01-12 16:18:49Z;Information;Finished script at '2025-01-12 16:18:49Z'. Took '00:00:01.0129882' to run.
TimeStamp;ErrorType;ErrorMessage
2025-01-12 16:19:24Z;Information;Starting script at '2025-01-12 16:19:24Z'.
2025-01-12 16:19:24Z;Information;Processing script code.
2025-01-12 16:19:25Z;Error;Attempted to divide by zero.
2025-01-12 16:19:25Z;Information;Finished script at '2025-01-12 16:19:25Z'. Took '00:00:01.0498525' to run.
TimeStamp;ErrorType;ErrorMessage
2025-01-12 16:20:25Z;Information;Starting script at '2025-01-12 16:20:25Z'.
2025-01-12 16:20:25Z;Information;Processing script code.
2025-01-12 16:20:26Z;Error;Attempted to divide by zero.
2025-01-12 16:20:26Z;Information;Finished script at '2025-01-12 16:20:26Z'. Took '00:00:00.9405853' to run.
TimeStamp;ErrorType;ErrorMessage
2025-01-12 16:31:53Z;Information;Processing script code.
